store_id,store_code,store_name,city,state,city_tier,cluster_zone,store_type,store_size_sqft,opening_date,created_at
31,STR01031,DailyNeeds Bhagalpur - Main-55,Bhagalpur,Bihar,3,East,Convenience,2928,2022-04-07,2026-05-30 01:02:25
32,STR01032,SmartShop Ranchi - Square-32,Ranchi,Jharkhand,3,East,Wholesale,55796,2015-06-08,2026-05-30 01:02:25
33,STR01033,DailyNeeds Ujjain - North-29,Ujjain,Madhya Pradesh,3,Central,Wholesale,58651,2014-05-26,2026-05-30 01:02:25
34,STR01034,FreshKart Howrah - Square-90,Howrah,West Bengal,3,East,Express,4179,2011-02-28,2026-05-30 01:02:25
35,STR01035,ValueStore Ranchi - Plaza-72,Ranchi,Jharkhand,3,East,Convenience,1939,2012-09-06,2026-05-30 01:02:25
36,STR01036,QuickMart Udaipur - Plaza-09,Udaipur,Rajasthan,3,North,Wholesale,26148,2021-03-14,2026-05-30 01:02:25
37,STR01037,QuickMart Raipur - East-10,Raipur,Chhattisgarh,3,Central,Wholesale,46953,2017-09-07,2026-05-30 01:02:25
38,STR01038,ValueStore Durgapur - Main-11,Durgapur,West Bengal,3,East,Convenience,2521,2024-09-12,2026-05-30 01:02:25
39,STR01039,BigBazaar Chennai - South-99,Chennai,Tamil Nadu,1,South,Supermarket,26624,2015-06-20,2026-05-30 01:02:25
40,STR01040,SmartShop Howrah - South-78,Howrah,West Bengal,3,East,Express,4020,2011-04-28,2026-05-30 01:02:25
41,STR01041,ValueStore Tirupati - Park-18,Tirupati,Andhra Pradesh,3,South,Express,2582,2020-10-17,2026-05-30 01:02:25
42,STR01042,DailyNeeds Srinagar - Plaza-55,Srinagar,Jammu and Kashmir,2,North,Hypermarket,50266,2018-05-08,2026-05-30 01:02:25
43,STR01043,BigBazaar Bhavnagar - Central-33,Bhavnagar,Gujarat,3,West,Express,4848,2014-01-07,2026-05-30 01:02:25
44,STR01044,UrbanMart Agra - North-85,Agra,Uttar Pradesh,2,North,Express,2349,2025-12-02,2026-05-30 01:02:25
45,STR01045,ValueStore Rohtak - Plaza-16,Rohtak,Haryana,3,North,Express,5917,2015-07-17,2026-05-30 01:02:25
46,STR01046,ValueStore Muzaffarpur - South-50,Muzaffarpur,Bihar,3,East,Convenience,876,2015-10-26,2026-05-30 01:02:25
47,STR01047,DailyNeeds Rohtak - Central-90,Rohtak,Haryana,3,North,Hypermarket,78160,2022-12-18,2026-05-30 01:02:25
48,STR01048,UrbanMart Shimla - West-45,Shimla,Himachal Pradesh,3,North,Convenience,2070,2021-05-02,2026-05-30 01:02:25
49,STR01049,MegaMart Agra - Park-28,Agra,Uttar Pradesh,2,North,Supermarket,27362,2017-05-24,2026-05-30 01:02:25
50,STR01050,ValueStore Gurgaon - Junction-13,Gurgaon,Haryana,3,North,Convenience,2373,2025-02-16,2026-05-30 01:02:25
51,STR01051,RetailMart Mumbai - Main-49,Mumbai,Maharashtra,1,West,Department Store,40457,2019-10-06,2026-05-30 01:02:25
52,STR01052,CityStore Gandhinagar - Square-95,Gandhinagar,Gujarat,3,West,Department Store,44338,2011-06-06,2026-05-30 01:02:25
53,STR01053,DailyNeeds Gurgaon - Junction-33,Gurgaon,Haryana,3,North,Wholesale,54421,2024-10-08,2026-05-30 01:02:25
54,STR01054,MegaMart Patna - Central-14,Patna,Bihar,2,East,Supermarket,19787,2015-12-28,2026-05-30 01:02:25
55,STR01055,MegaMart Bareilly - Central-68,Bareilly,Uttar Pradesh,3,North,Express,5502,2019-06-25,2026-05-30 01:02:25
56,STR01056,DailyNeeds Udaipur - East-46,Udaipur,Rajasthan,3,North,Wholesale,43527,2012-10-06,2026-05-30 01:02:25
57,STR01057,ValueStore Bhilai - Main-83,Bhilai,Chhattisgarh,3,Central,Express,3568,2012-09-14,2026-05-30 01:02:25
58,STR01058,UrbanMart Jamshedpur - Main-63,Jamshedpur,Jharkhand,3,East,Express,5585,2010-01-01,2026-05-30 01:02:25
59,STR01059,RetailMart Karimnagar - Main-06,Karimnagar,Telangana,3,South,Hypermarket,77255,2010-01-10,2026-05-30 01:02:25
60,STR01060,MegaMart Mysuru - Plaza-05,Mysuru,Karnataka,2,South,Supermarket,27523,2023-08-14,2026-05-30 01:02:25
61,STR01061,UrbanMart Sangli - North-14,Sangli,Maharashtra,3,West,Convenience,2356,2014-07-06,2026-05-30 01:02:25
62,STR01062,SmartShop Moradabad - Plaza-97,Moradabad,Uttar Pradesh,3,North,Express,5565,2015-06-30,2026-05-30 01:02:25
63,STR01063,FreshKart Kollam - East-98,Kollam,Kerala,3,South,Supermarket,25115,2010-05-05,2026-05-30 01:02:25
64,STR01064,CityStore Gandhinagar - South-94,Gandhinagar,Gujarat,3,West,Supermarket,21125,2016-03-28,2026-05-30 01:02:25
65,STR01065,SmartShop Kozhikode - Main-37,Kozhikode,Kerala,3,South,Express,3784,2019-02-15,2026-05-30 01:02:25
66,STR01066,UrbanMart Haridwar - Square-44,Haridwar,Uttarakhand,3,North,Wholesale,47082,2019-05-30,2026-05-30 01:02:25
67,STR01067,RetailMart Bareilly - Junction-38,Bareilly,Uttar Pradesh,3,North,Supermarket,21531,2012-01-02,2026-05-30 01:02:25
68,STR01068,DailyNeeds Kolkata - North-71,Kolkata,West Bengal,1,East,Supermarket,19304,2019-12-07,2026-05-30 01:02:25
69,STR01069,QuickMart Ujjain - Central-20,Ujjain,Madhya Pradesh,3,Central,Convenience,1560,2023-09-27,2026-05-30 01:02:25
70,STR01070,DailyNeeds Ludhiana - Junction-94,Ludhiana,Punjab,2,North,Express,3621,2012-08-06,2026-05-30 01:02:25
71,STR01071,QuickMart Ludhiana - Central-53,Ludhiana,Punjab,2,North,Hypermarket,66137,2025-08-14,2026-05-30 01:02:25
72,STR01072,QuickMart Dehradun - Central-23,Dehradun,Uttarakhand,3,North,Wholesale,57205,2021-04-02,2026-05-30 01:02:25
73,STR01073,SmartShop Guwahati - Plaza-87,Guwahati,Assam,2,East,Supermarket,32626,2019-06-09,2026-05-30 01:02:25
74,STR01074,ValueStore Durgapur - Park-22,Durgapur,West Bengal,3,East,Express,3716,2012-06-22,2026-05-30 01:02:25
75,STR01075,UrbanMart Chandigarh - West-38,Chandigarh,Chandigarh,2,North,Wholesale,59897,2017-01-07,2026-05-30 01:02:25
76,STR01076,BigBazaar Vijayawada - North-84,Vijayawada,Andhra Pradesh,2,South,Express,3511,2025-03-04,2026-05-30 01:02:25
77,STR01077,DailyNeeds Amravati - Square-19,Amravati,Maharashtra,3,West,Hypermarket,82137,2025-07-21,2026-05-30 01:02:25
78,STR01078,RetailMart Bengaluru - East-48,Bengaluru,Karnataka,1,South,Supermarket,23011,2025-05-25,2026-05-30 01:02:25
79,STR01079,DailyNeeds Nagpur - Junction-97,Nagpur,Maharashtra,2,West,Supermarket,32041,2013-12-08,2026-05-30 01:02:25
80,STR01080,RetailMart Tiruchirappalli - Square-90,Tiruchirappalli,Tamil Nadu,3,South,Supermarket,33639,2012-03-02,2026-05-30 01:02:25
81,STR01081,RetailMart Ranchi - Plaza-69,Ranchi,Jharkhand,3,East,Express,5175,2023-07-24,2026-05-30 01:02:25
82,STR01082,BigBazaar Jodhpur - Park-99,Jodhpur,Rajasthan,3,North,Hypermarket,67839,2010-07-16,2026-05-30 01:02:25
83,STR01083,CityStore Kollam - Park-77,Kollam,Kerala,3,South,Convenience,1124,2014-07-08,2026-05-30 01:02:25
84,STR01084,DailyNeeds Shimla - Main-07,Shimla,Himachal Pradesh,3,North,Express,5530,2019-12-26,2026-05-30 01:02:25
85,STR01085,FreshKart Rajkot - Park-20,Rajkot,Gujarat,2,West,Convenience,1308,2019-09-29,2026-05-30 01:02:25
86,STR01086,ValueStore Allahabad - Junction-08,Allahabad,Uttar Pradesh,3,North,Convenience,2170,2020-05-17,2026-05-30 01:02:25
87,STR01087,FreshKart Patiala - West-65,Patiala,Punjab,3,North,Express,3601,2025-08-30,2026-05-30 01:02:25
88,STR01088,RetailMart Kollam - West-86,Kollam,Kerala,3,South,Wholesale,34481,2022-10-10,2026-05-30 01:02:25
89,STR01089,RetailMart Ajmer - Park-74,Ajmer,Rajasthan,3,North,Department Store,33798,2014-04-15,2026-05-30 01:02:25
90,STR01090,MegaMart Faridabad - North-26,Faridabad,Haryana,2,North,Hypermarket,41913,2011-06-08,2026-05-30 01:02:25
91,STR01091,DailyNeeds Saharanpur - Main-30,Saharanpur,Uttar Pradesh,3,North,Convenience,2520,2021-11-01,2026-05-30 01:02:25
92,STR01092,CityStore Jodhpur - South-41,Jodhpur,Rajasthan,3,North,Express,3645,2020-11-15,2026-05-30 01:02:25
93,STR01093,UrbanMart Bhilai - Park-87,Bhilai,Chhattisgarh,3,Central,Express,5624,2018-02-19,2026-05-30 01:02:25
94,STR01094,DailyNeeds Aurangabad - Central-13,Aurangabad,Maharashtra,2,West,Hypermarket,76347,2013-10-23,2026-05-30 01:02:25
95,STR01095,MegaMart Junagadh - Square-81,Junagadh,Gujarat,3,West,Convenience,1385,2015-11-04,2026-05-30 01:02:25
96,STR01096,QuickMart Durgapur - West-25,Durgapur,West Bengal,3,East,Express,4465,2014-05-26,2026-05-30 01:02:25
97,STR01097,UrbanMart Raipur - Park-41,Raipur,Chhattisgarh,3,Central,Express,5833,2011-05-19,2026-05-30 01:02:25
98,STR01098,FreshKart Tirunelveli - Square-39,Tirunelveli,Tamil Nadu,3,South,Supermarket,26333,2016-07-21,2026-05-30 01:02:25
99,STR01099,CityStore Kolkata - Park-57,Kolkata,West Bengal,1,East,Hypermarket,66569,2011-05-18,2026-05-30 01:02:25
100,STR01100,DailyNeeds Vijayawada - South-31,Vijayawada,Andhra Pradesh,2,South,Department Store,26225,2024-04-30,2026-05-30 01:02:25
101,STR01101,FreshKart Bikaner - Main-46,Bikaner,Rajasthan,3,North,Express,4372,2017-10-29,2026-05-30 01:02:25
102,STR01102,DailyNeeds Cuttack - Square-62,Cuttack,Odisha,3,East,Supermarket,17730,2012-10-15,2026-05-30 01:02:25
103,STR01103,BigBazaar Dehradun - Central-50,Dehradun,Uttarakhand,3,North,Express,2280,2017-08-15,2026-05-30 01:02:25
104,STR01104,QuickMart Solapur - Park-17,Solapur,Maharashtra,3,West,Convenience,804,2022-08-11,2026-05-30 01:02:25
105,STR01105,QuickMart Visakhapatnam - West-13,Visakhapatnam,Andhra Pradesh,2,South,Supermarket,20720,2021-09-07,2026-05-30 01:02:25
106,STR01106,CityStore Gurgaon - Junction-85,Gurgaon,Haryana,3,North,Wholesale,37706,2010-12-15,2026-05-30 01:02:25
107,STR01107,CityStore Visakhapatnam - Junction-97,Visakhapatnam,Andhra Pradesh,2,South,Department Store,27279,2011-02-14,2026-05-30 01:02:25
108,STR01108,MegaMart Raipur - Junction-81,Raipur,Chhattisgarh,3,Central,Department Store,49819,2023-09-30,2026-05-30 01:02:25
109,STR01109,RetailMart Jodhpur - East-20,Jodhpur,Rajasthan,3,North,Convenience,2427,2020-10-29,2026-05-30 01:02:25
110,STR01110,FreshKart Kochi - North-94,Kochi,Kerala,2,South,Hypermarket,88479,2015-04-14,2026-05-30 01:02:25
111,STR01111,FreshKart Rajkot - Main-89,Rajkot,Gujarat,2,West,Supermarket,29040,2023-05-28,2026-05-30 01:02:25
112,STR01112,ValueStore Srinagar - South-96,Srinagar,Jammu and Kashmir,2,North,Supermarket,18153,2023-02-26,2026-05-30 01:02:25
113,STR01113,FreshKart Kozhikode - North-51,Kozhikode,Kerala,3,South,Express,5549,2023-04-21,2026-05-30 01:02:25
114,STR01114,FreshKart Ujjain - Plaza-87,Ujjain,Madhya Pradesh,3,Central,Convenience,1240,2010-07-20,2026-05-30 01:02:25
115,STR01115,SmartShop Kozhikode - West-33,Kozhikode,Kerala,3,South,Wholesale,42696,2014-03-16,2026-05-30 01:02:25
116,STR01116,UrbanMart Patiala - Central-89,Patiala,Punjab,3,North,Department Store,35322,2011-11-14,2026-05-30 01:02:25
117,STR01117,BigBazaar Junagadh - South-48,Junagadh,Gujarat,3,West,Convenience,1688,2018-05-16,2026-05-30 01:02:25
118,STR01118,FreshKart Gurgaon - Central-28,Gurgaon,Haryana,3,North,Express,2902,2024-09-23,2026-05-30 01:02:25
119,STR01119,BigBazaar Bareilly - Park-20,Bareilly,Uttar Pradesh,3,North,Express,4788,2018-03-30,2026-05-30 01:02:25
120,STR01120,BigBazaar Cuttack - West-23,Cuttack,Odisha,3,East,Express,3485,2012-03-02,2026-05-30 01:02:25
121,STR01121,SmartShop Varanasi - South-78,Varanasi,Uttar Pradesh,2,North,Supermarket,15865,2023-03-10,2026-05-30 01:02:25
122,STR01122,FreshKart Jaipur - North-82,Jaipur,Rajasthan,2,North,Convenience,1291,2016-07-03,2026-05-30 01:02:25
123,STR01123,DailyNeeds Gurgaon - East-24,Gurgaon,Haryana,3,North,Wholesale,49070,2024-12-10,2026-05-30 01:02:25
124,STR01124,FreshKart Bhilai - North-91,Bhilai,Chhattisgarh,3,Central,Supermarket,29286,2018-10-08,2026-05-30 01:02:25
125,STR01125,ValueStore Tirupati - Park-87,Tirupati,Andhra Pradesh,3,South,Convenience,2414,2018-06-09,2026-05-30 01:02:25
126,STR01126,ValueStore Kanpur - South-83,Kanpur,Uttar Pradesh,2,North,Hypermarket,82817,2010-11-25,2026-05-30 01:02:25
127,STR01127,ValueStore Jabalpur - Junction-73,Jabalpur,Madhya Pradesh,3,Central,Convenience,2669,2012-11-20,2026-05-30 01:02:25
128,STR01128,UrbanMart Meerut - Plaza-92,Meerut,Uttar Pradesh,2,North,Wholesale,47174,2014-08-02,2026-05-30 01:02:25
129,STR01129,RetailMart Delhi - Central-08,Delhi,Delhi,1,North,Express,3150,2017-03-21,2026-05-30 01:02:25
130,STR01130,ValueStore Jamnagar - East-09,Jamnagar,Gujarat,3,West,Convenience,2976,2011-05-07,2026-05-30 01:02:25
131,STR01131,MegaMart Chennai - Junction-38,Chennai,Tamil Nadu,1,South,Hypermarket,50504,2022-01-28,2026-05-30 01:02:25
132,STR01132,ValueStore Gorakhpur - Central-11,Gorakhpur,Uttar Pradesh,3,North,Department Store,49009,2025-12-28,2026-05-30 01:02:25
133,STR01133,MegaMart Bareilly - Plaza-18,Bareilly,Uttar Pradesh,3,North,Supermarket,33295,2019-09-22,2026-05-30 01:02:25
134,STR01134,FreshKart Asansol - Plaza-92,Asansol,West Bengal,3,East,Supermarket,22600,2012-11-07,2026-05-30 01:02:25
135,STR01135,SmartShop Allahabad - Main-97,Allahabad,Uttar Pradesh,3,North,Convenience,2481,2010-09-13,2026-05-30 01:02:25
136,STR01136,RetailMart Belgaum - Junction-74,Belgaum,Karnataka,3,South,Convenience,2426,2020-06-12,2026-05-30 01:02:25
137,STR01137,ValueStore Ludhiana - Main-96,Ludhiana,Punjab,2,North,Wholesale,52434,2013-01-13,2026-05-30 01:02:25
138,STR01138,UrbanMart Guntur - Park-27,Guntur,Andhra Pradesh,3,South,Department Store,25219,2018-12-18,2026-05-30 01:02:25
139,STR01139,CityStore Haridwar - Park-53,Haridwar,Uttarakhand,3,North,Supermarket,21050,2017-03-26,2026-05-30 01:02:25
140,STR01140,CityStore Kochi - North-47,Kochi,Kerala,2,South,Hypermarket,43601,2024-10-28,2026-05-30 01:02:25
141,STR01141,ValueStore Cuttack - Junction-55,Cuttack,Odisha,3,East,Department Store,33295,2014-10-03,2026-05-30 01:02:25
142,STR01142,UrbanMart Mangalore - South-31,Mangalore,Karnataka,3,South,Express,4288,2012-12-15,2026-05-30 01:02:25
143,STR01143,QuickMart Kolkata - Main-23,Kolkata,West Bengal,1,East,Supermarket,15634,2025-04-12,2026-05-30 01:02:25
144,STR01144,BigBazaar Thiruvananthapuram - South-99,Thiruvananthapuram,Kerala,2,South,Supermarket,16912,2012-01-30,2026-05-30 01:02:25
145,STR01145,BigBazaar Varanasi - East-72,Varanasi,Uttar Pradesh,2,North,Department Store,26264,2018-06-04,2026-05-30 01:02:25
146,STR01146,FreshKart Nellore - Junction-65,Nellore,Andhra Pradesh,3,South,Convenience,963,2011-06-01,2026-05-30 01:02:25
147,STR01147,FreshKart Jodhpur - East-12,Jodhpur,Rajasthan,3,North,Express,5337,2014-11-13,2026-05-30 01:02:25
148,STR01148,DailyNeeds Mysuru - Plaza-71,Mysuru,Karnataka,2,South,Hypermarket,75591,2015-02-18,2026-05-30 01:02:25
149,STR01149,DailyNeeds Jaipur - Junction-59,Jaipur,Rajasthan,2,North,Wholesale,43870,2013-01-06,2026-05-30 01:02:25
150,STR01150,QuickMart Kanpur - Main-01,Kanpur,Uttar Pradesh,2,North,Department Store,46898,2013-04-02,2026-05-30 01:02:25
151,STR01151,DailyNeeds Bareilly - East-34,Bareilly,Uttar Pradesh,3,North,Supermarket,18651,2024-05-08,2026-05-30 01:02:25
152,STR01152,MegaMart Mysuru - Park-50,Mysuru,Karnataka,2,South,Supermarket,33440,2023-05-19,2026-05-30 01:02:25
153,STR01153,QuickMart Varanasi - Main-56,Varanasi,Uttar Pradesh,2,North,Wholesale,35241,2023-05-19,2026-05-30 01:02:25
154,STR01154,UrbanMart Howrah - Plaza-14,Howrah,West Bengal,3,East,Express,4641,2020-03-15,2026-05-30 01:02:25
155,STR01155,FreshKart Jaipur - East-81,Jaipur,Rajasthan,2,North,Convenience,1057,2010-06-14,2026-05-30 01:02:25
156,STR01156,BigBazaar Kolkata - South-26,Kolkata,West Bengal,1,East,Express,4212,2025-10-19,2026-05-30 01:02:25
157,STR01157,ValueStore Udaipur - Central-63,Udaipur,Rajasthan,3,North,Express,5796,2010-10-14,2026-05-30 01:02:25
158,STR01158,UrbanMart Varanasi - Plaza-49,Varanasi,Uttar Pradesh,2,North,Hypermarket,79325,2023-04-25,2026-05-30 01:02:25
159,STR01159,DailyNeeds Kozhikode - Junction-63,Kozhikode,Kerala,3,South,Department Store,32575,2014-07-04,2026-05-30 01:02:25
160,STR01160,DailyNeeds Jamshedpur - North-89,Jamshedpur,Jharkhand,3,East,Express,4014,2022-02-24,2026-05-30 01:02:25
161,STR01161,FreshKart Amravati - Plaza-90,Amravati,Maharashtra,3,West,Hypermarket,53449,2015-02-16,2026-05-30 01:02:25
162,STR01162,RetailMart Visakhapatnam - North-19,Visakhapatnam,Andhra Pradesh,2,South,Convenience,2630,2012-09-29,2026-05-30 01:02:25
163,STR01163,DailyNeeds Surat - Plaza-72,Surat,Gujarat,2,West,Hypermarket,46976,2022-12-03,2026-05-30 01:02:25
164,STR01164,SmartShop Kolkata - Plaza-32,Kolkata,West Bengal,1,East,Supermarket,16301,2016-07-26,2026-05-30 01:02:25
165,STR01165,MegaMart Gandhinagar - Main-92,Gandhinagar,Gujarat,3,West,Express,4511,2024-02-12,2026-05-30 01:02:25
166,STR01166,ValueStore Allahabad - Main-45,Allahabad,Uttar Pradesh,3,North,Department Store,28278,2015-06-18,2026-05-30 01:02:25
167,STR01167,UrbanMart Coimbatore - North-71,Coimbatore,Tamil Nadu,2,South,Wholesale,36385,2019-11-19,2026-05-30 01:02:25
168,STR01168,SmartShop Meerut - Junction-79,Meerut,Uttar Pradesh,2,North,Supermarket,24836,2014-01-29,2026-05-30 01:02:25
169,STR01169,DailyNeeds Warangal - Square-65,Warangal,Telangana,3,South,Convenience,2322,2016-03-20,2026-05-30 01:02:25
170,STR01170,MegaMart Nagpur - Central-75,Nagpur,Maharashtra,2,West,Supermarket,28401,2017-12-12,2026-05-30 01:02:25
171,STR01171,CityStore Guwahati - South-81,Guwahati,Assam,2,East,Department Store,21238,2021-08-14,2026-05-30 01:02:25
172,STR01172,RetailMart Jamnagar - North-21,Jamnagar,Gujarat,3,West,Supermarket,34323,2014-01-02,2026-05-30 01:02:25
173,STR01173,QuickMart Anand - Park-38,Anand,Gujarat,3,West,Express,5466,2020-09-25,2026-05-30 01:02:25
174,STR01174,UrbanMart Pune - East-55,Pune,Maharashtra,1,West,Supermarket,20246,2012-09-19,2026-05-30 01:02:25
175,STR01175,UrbanMart Ranchi - Plaza-55,Ranchi,Jharkhand,3,East,Express,4220,2013-04-25,2026-05-30 01:02:25
176,STR01176,FreshKart Ludhiana - Square-40,Ludhiana,Punjab,2,North,Supermarket,28313,2017-07-04,2026-05-30 01:02:25
177,STR01177,CityStore Kanpur - Square-20,Kanpur,Uttar Pradesh,2,North,Department Store,34655,2017-11-11,2026-05-30 01:02:25
178,STR01178,SmartShop Visakhapatnam - West-14,Visakhapatnam,Andhra Pradesh,2,South,Express,2231,2017-01-17,2026-05-30 01:02:25
179,STR01179,UrbanMart Guwahati - Central-67,Guwahati,Assam,2,East,Supermarket,17939,2014-01-18,2026-05-30 01:02:25
180,STR01180,SmartShop Junagadh - West-14,Junagadh,Gujarat,3,West,Convenience,2610,2011-08-29,2026-05-30 01:02:25
181,STR01181,MegaMart Kochi - South-23,Kochi,Kerala,2,South,Convenience,1535,2024-07-26,2026-05-30 01:02:25
182,STR01182,MegaMart Agra - East-98,Agra,Uttar Pradesh,2,North,Supermarket,18577,2023-05-05,2026-05-30 01:02:25
183,STR01183,RetailMart Moradabad - Plaza-61,Moradabad,Uttar Pradesh,3,North,Wholesale,49180,2024-06-21,2026-05-30 01:02:25
184,STR01184,BigBazaar Gandhinagar - South-09,Gandhinagar,Gujarat,3,West,Convenience,2958,2012-02-28,2026-05-30 01:02:25
185,STR01185,DailyNeeds Faridabad - North-82,Faridabad,Haryana,2,North,Wholesale,55741,2018-12-16,2026-05-30 01:02:25
186,STR01186,RetailMart Vadodara - Main-56,Vadodara,Gujarat,2,West,Convenience,849,2015-01-20,2026-05-30 01:02:25
187,STR01187,FreshKart Bhopal - South-77,Bhopal,Madhya Pradesh,2,Central,Supermarket,15582,2024-12-04,2026-05-30 01:02:25
188,STR01188,BigBazaar Meerut - Main-02,Meerut,Uttar Pradesh,2,North,Express,2983,2021-12-21,2026-05-30 01:02:25
189,STR01189,RetailMart Raipur - Plaza-11,Raipur,Chhattisgarh,3,Central,Supermarket,26069,2021-04-08,2026-05-30 01:02:25
190,STR01190,MegaMart Jamnagar - Main-19,Jamnagar,Gujarat,3,West,Department Store,46368,2016-05-02,2026-05-30 01:02:25
191,STR01191,ValueStore Surat - Park-98,Surat,Gujarat,2,West,Supermarket,24663,2021-09-24,2026-05-30 01:02:25
192,STR01192,QuickMart Bengaluru - Main-89,Bengaluru,Karnataka,1,South,Hypermarket,59241,2022-05-21,2026-05-30 01:02:25
193,STR01193,ValueStore Vijayawada - Central-63,Vijayawada,Andhra Pradesh,2,South,Wholesale,41579,2012-02-26,2026-05-30 01:02:25
194,STR01194,SmartShop Dhanbad - Square-01,Dhanbad,Jharkhand,3,East,Department Store,42373,2024-09-28,2026-05-30 01:02:25
195,STR01195,SmartShop Muzaffarpur - Square-93,Muzaffarpur,Bihar,3,East,Convenience,2109,2018-04-15,2026-05-30 01:02:25
196,STR01196,SmartShop Ludhiana - Central-68,Ludhiana,Punjab,2,North,Convenience,2928,2013-08-24,2026-05-30 01:02:25
197,STR01197,SmartShop Thrissur - South-98,Thrissur,Kerala,3,South,Wholesale,38195,2010-07-29,2026-05-30 01:02:25
198,STR01198,QuickMart Jabalpur - Main-51,Jabalpur,Madhya Pradesh,3,Central,Hypermarket,56893,2018-08-20,2026-05-30 01:02:25
199,STR01199,SmartShop Raipur - Central-48,Raipur,Chhattisgarh,3,Central,Convenience,2374,2025-07-26,2026-05-30 01:02:25
200,STR01200,QuickMart Karimnagar - Central-26,Karimnagar,Telangana,3,South,Express,4618,2021-01-30,2026-05-30 01:02:25
